,English,French
96,discussing,discuter
97,cerebrally,cérébralement
98,videotaped,filmé
99,increments,incréments
100,palimpsest multiparty visvamitra,palimpseste pluripartite visvamitra
101,luminaries charadhyay,luminaires charadhyay
102,charmingly tumultuous,avec charme tumultueux
103,dependable,sûr
104,helicopter innovating vibheeshan,hélicoptère innover vibheeshan
105,timberless,sans bois
106,dishonesty,malhonnêteté
107,oppressing barbarians,oppressant barbares
108,kamapneoan,kamapnéoan
109,sandalwood announcing kathamandu,santal annonçant Kathamandou
110,broomfield,champ de balais
111,symbolical,symbolique
112,precidency,préséance
113,permorning railwaymen madhyaloka,permanent cheminots madhyaloka
114,vijaynagar,vijaynagar
115,overridden shrotyagya,remplacé shrotyagya
116,publishing,édition
117,skirmishes,escarmouches
118,telephoned,téléphoné
119,sufferings,souffrances
120,ordination,ordination
121,affections,affections
122,dhraupadhi,dhraupadhi
123,repurposes,réutilise
124,furnishing loveliness,ameublement beauté
125,unthinking unbeliever,irréfléchi incroyant
126,sommavanti permisiion akshouhini,sommavanti autorisation Akshouhini
127,nucleotide calibrated gothakhoor,nucléotide calibré gothakhoor
128,indigenous,indigène
129,respondent schoolyard,intimé cour d'école
130,houseflies enormously,les mouches domestiques énormément
131,hollowness,cavité
132,sandwiched,pris en sandwich
133,lehertaara busybodies lingayatas,lehertaara les gens occupés lingayatas
134,diwalilord,Diwalilord
135,montgomery highlights,montgomery points forts
136,denudation,dénudation
137,prosecutes,poursuit
138,tञanadipak historical accretions,tanadipak historique accrétions
139,proclaimed,proclamé
140,janasangya consequent sprinkling,Janasangya conséquent saupoudrage
141,manifestly rambelives,manifestement rambelives
142,premchanda,premchanda
143,circulated assistants,diffusé assistants
144,contiguous,contigu
145,seductions outscoring,séductions surclassement
146,adhikarano parasmoney surrenders,adhikarano parasmoney se rend
147,afganistan,Afghanistan
148,mozambique collisions,Mozambique collisions
149,krickstoel,krickstoel
150,formations components,formations composants
151,destroyers,destroyers
152,companians perquisite,compagnons avantage
153,insulating exxonmobil,isolant exxonmobil
154,shivakalin,shivakaline
155,surfacefor,surfacepour
156,vegetarian,végétarien
157,prescribed,prescrit
158,hanamkonda,Hanamkonda
159,bookiegate transition uttrakhand,bookmaker transition uttrakhand
160,rigorously,rigoureusement
161,hindrances,obstacles
162,occassions,occasions
163,antagonism,antagonisme
164,permitting refutation subjective,permettre réfutation subjectif
165,dislocates scholastic,disloque scolaire
166,convulsing transplant,convulsions transplanter
167,sauerkraut chathavadi,choucroute chathavadi
168,sacramento,Sacramento
169,instamatic antarraman,instamatique Antarraman
170,reprimands concerning,réprimandes concernant
171,crossovers,croisements
172,gottschalk,gottschalk
173,resourcess britainnot,ressources grande-bretagne
174,raghuvansh,raghuvansh
175,transacted unmetalled detonation,transactionné non métallisé détonation
176,enthusiasm uttarakand varshakala,enthousiasme uttarakand Varshakala
177,ballimaran,balimaran
178,resolution pedestrian shamsuddin,résolution piéton Shamsuddin
179,bhagarathi reflecting theocratic,Bhagarathi reflétant théocratique
180,venustiano,venustien
181,responsive skylighter miniskirts,sensible lucarne minijupes
182,condensate agronomist,condensat agronome
183,hailstones,grêlons
184,raghuvamsh,raghuvamsh
185,pedestrain,piéton
186,satellites,satellites
187,chaturdasi reputation,chaturdasi réputation
188,fascinated ramagundam stagnating,fasciné Ramagundam stagner
189,bailadilla,bailadilla
190,dissipated,dissipé
191,supervisor,superviseur
192,illiterate inumerable,analphabète innombrable
193,supplanted,supplanté
194,believable,croyable
195,downstairs aryabhatta,en bas aryabhatta
196,mentioning terriorism,mentionnant Terrorisme
197,deshbahdhu,deshbahdhu
198,ordinarily,ordinairement
199,jwarherlal tendonitis paratinaya,jwarherlal tendinite paratinaya
200,oarticular,oarticulaire
201,grasslands cheesecake birmingham,prairies gâteau au fromage Birmingham
202,mahaprabhu,Mahaprabhu
203,influences,influence
204,protective jambudweep,protecteur jambudweep
205,overstated renovating,exagéré rénover
206,aparbrahma installing,aparbrahma installation
207,overseeing,surveillance
208,treatments shakarulla ascendants,traitements shakarulla ascendants
209,judgmental jiyauddeen,critique jiyauddeen
210,propounded,proposé
211,breathable,respirant
212,succesfull,réussi
213,ringverpur,ringverpur
214,troduction dasavatara,production dasavatara
215,seeshmahal,Seeshmahal
216,tumbledown,délabré
217,implacable,implacable
218,indrajatra,indrajatra
219,salihundam,salihundam
220,managerial,gestion
221,mosquitoes finiteness,les moustiques finitude
222,akbarabaad,akbarabaad
223,positivity contribute,positivité contribuer
224,ichhaamati,Ichhaamati
225,hardstones,pierres dures
226,conforming,conforme
227,millennial,millénaire
228,minuteness,minutie
229,manoeuvred courtesies,manœuvré courtoisies
230,dazzlingly,de manière éblouissante
231,amusements,divertissements
232,chocolates,chocolats
233,epitomised,incarné
234,bhimbetaka pashupatha chitrangad,bhimbetaka pashupatha chitrangad
235,aaryavarti,aaryavarti
236,rahminical expellsion,rahminique expulsion
237,ranthanbor,ranthanbor
238,politician,politicien
239,coarsening,grossissement
240,calculator relaxation,calculatrice relaxation
241,bewildered,perplexe
242,harischand,Harischand
243,worshipper,adorateur
244,medication entorhinal,médicament entorhinal
245,darlington,Darlington
246,sovietland,pays soviétique
247,aeronautic applicants delicacies,aéronautique candidats gourmandises
248,consonants,consonnes
249,rheumatism partiality,rhumatisme partialité
250,understood,compris
251,portraying,portrait
252,thackersey,Thackersey
253,faruthabad,Faruthabad
254,autoriksha,autoriksha
255,cautiously fibrinogen,avec prudence fibrinogène
256,allegatory,allégatif
257,resumption incentives,reprise incitations
258,instructed,instruit
259,businesses,entreprises
260,problemthe,problèmele
261,execration drowsiness,exécration somnolence
262,inactivity republican,inactivité républicain
263,fluctuated,fluctué
264,regression dreamworld,régression monde de rêve
265,knighthood descriptin sihshambih,chevalerie description sihshambih
266,vitalistic,vitaliste
267,contingent,contingent
268,sanchayaka,Sanchayaka
269,remarriage,remariage
270,corbelling storehouse,encorbellement entrepôt
271,dayanandan redivision,Dayanandan redivision
272,concluding,final
273,geographic,géographique
274,mahadeviji,Mahadeviji
275,describing,décrivant
276,positivity inflection,positivité inflexion
277,phosphorus,phosphore
278,phosphates alphabetic,phosphates alphabétique
279,enterprise mercantile remingtton,entreprise mercantile Remington
280,desabhandu,desabhandu
281,prambaanan demolishes,prambaanan démolit
282,presuppose,présupposer
283,pilastered incumbents,à pilastres titulaires
284,soundproof,insonoriser
285,advertised unofficial suppressed,annoncé non officiel supprimé
286,separately,séparément
287,sorrowfull dissension,triste dissension
288,physicians competitor,médecins concurrent
289,mitsubishi,mitsubishi
290,timethough,le temps
291,despairall,désespoir
292,derivative enthusiast,dérivé passionné
293,ghorakhpur sthirarasi rudrakasha,ghorakhpur sthirarasi rudrakasha
294,soundproof livelihood,insonoriser moyens de subsistance
295,uncritical,non critique
296,contortion,contorsion
297,horizontal,horizontal
298,calibrated functioned,calibré a fonctionné
299,sunflowers watertight,tournesols étanche
300,directness muscovites,franchise les muscovites
301,auditorium,salle
302,deoadagano mukhssraot,déoadagano mukhssraot
303,instigated hoarseness contextual,incité enrouement contextuel
304,cricketers,joueurs de cricket
305,infoscians thecentral,infosciens la centrale
306,landslides jahawarlal,glissements de terrain jahawarlal
307,connection offsetting commission,connexion compensation commission
308,infighting,luttes intestines
309,shurpankha,chourpankha
310,castration,castration
311,repository,dépôt
312,sculpturss,sculpteurs
313,overpriced,trop cher
314,stepmother stuttering,belle-mère bégaiement
315,utopianism,utopisme
316,foreground dependence,premier plan dépendance
317,disappoint,décevoir
318,hoeijmaker,fabricant de houes
319,mahamatras shamaniyya unfamiliar,Mahamatras chamaniyya inconnu
320,sisterhood procedural hippocampi,fraternité de procédure hippocampes
321,psilocybin depictions,psilocybine représentations
322,changthang unrelented pulverised,changthang implacable pulvérisé
323,contiditon,condition
324,seasonally,de façon saisonnière
325,bankrupted,en faillite
326,byssinosis,byssinose
327,biennially ridiculous,tous les deux ans ridicule
328,yudhishtir,Yudhishtir
329,pulverised,pulvérisé
330,iniquities,iniquités
331,proyogkrta,proyogkrta
332,penetrates mussoulini floundered,pénètre mussoulini pataugé
333,consideres,considère
334,kunjipatil shatrughun,kunjipatil Shatrughun
335,vocational,professionnel
336,roadblocks,barrages routiers
337,almunabbih disloyalty,almunabbih déloyauté
338,themselves,eux-mêmes
339,consistent,cohérent
340,jatiavidhi craftiness,jatiavidhi ruse
341,precursors,précurseurs
342,tenderness charadhyay carpenters,tendresse charadhyay charpentiers
343,undermined,miné
344,hemisphere shoshlekha crocodiles,hémisphère Shoshlekha crocodiles
345,inscribing,inscription
346,venugopala biological,venugopala biologique
347,activation,activation
348,competence,compétence
349,memorizing,mémorisation
350,inflatable,gonflable
351,symetrical,symétrique
352,ministries,ministères
353,asbestosis deepfrying,amiantose friture
354,malthusian,malthusien
355,enshrining homologous,consacrant homologue
356,sverdlovsk,Sverdlovsk
357,unprepared,non préparé
358,sahajanand,sahajanand
359,stewardess,hôtesse
360,naseerudin,naseerudine
361,succumbing aeroplanes,succomber avions
362,kallamatha,Kallamatha
363,tributries,affluents
364,variegated,panaché
365,catalogued delusional rahminical,catalogué délirant rahminique
366,regimentan altogether,régimentaire tout à fait
367,blitzkrieg aksharmugh,guerre éclair Akharmugh
368,tetraploid,tétraploïde
369,fertilizer,engrais
370,napoleanic freemasons furnitures,napoléonien francs-maçons meubles
371,uncreative yugoslavia,peu créatif Yougoslavie
372,benevolent,bienveillant
373,provincies,provinces
374,superhuman,surhumain
375,rhinoceros,rhinocéros
376,vachaspati,vachaspati
377,despatched,expédié
378,adoptation cantonment,adoption cantonnement
379,kallesvara redecorate vindictive,Kallesvara redécorer vindicatif
380,carcinogen,cancérigène
381,gladiators,gladiateurs
382,intimidate,intimider
383,structured expedition,structuré expédition
384,constantly negatively,en permanence négativement
385,pronounced,prononcé
386,propelling,propulser
387,sorrowfull,triste
388,uneasiness symbolises moderators,inquiétude symbolise modérateurs
389,parliament exhibiting,parlement exposant
390,zamindaris,Zamindaris
391,absolutely,absolument
392,ineptitude,ineptie
393,kandaswamy infatuated,kandaswamy entiché
394,quarantine,quarantaine
395,geetimalai,geetimalai
396,ragoowansi percolator,ragoowansi percolateur
397,vaccinated samarkhand,vacciné samarkhand
398,interestin,intéressant
399,gazetteers jagannadha,répertoires géographiques jagannadha
400,hindenburg,hindenbourg
401,propitious,propice
402,mastercard pitnpaksha,MasterCard pitnpaksha
403,caseworker,travailleur social
404,sachharine,sachharine
405,importence,importance
406,napoleanic department paperboard,napoléonien département carton
407,insurgents monopolies attainable,insurgés monopoles réalisable
408,articulate livelihood,articuler moyens de subsistance
409,wholesaler,grossiste
410,variations,variantes
411,rechecking whereunder rossendale,revérification sous quoi rossendale
412,subsequent mangolians,ultérieur mangoliens
413,farmhouses,fermes
414,staunchest authorizes,le plus fidèle autorise
415,digression,digression
416,quitestiff spaceships apparently,témoin vaisseaux spatiaux apparemment
417,bhaktiyoga,bhaktiyoga
418,prambaanan andamanese treatments,prambaanan andamanais traitements
419,dislocated,luxé
420,procedings epididymis,procédures épididyme
421,superseded fearlessly,remplacé sans crainte
422,devanagiri,devanagiri
423,bankruptcy,faillite
424,reshuffles dharmaraja,remaniements dharmaraja
425,kurdisthan traditions compressed,Kurdistan traditions comprimé
426,duriyodhan invariably,duriyodhan invariablement
427,shakuntala,shakuntala
428,searcheses,recherches
429,narrations,narrations
430,raguvanshi,raguvanshi
431,companions,compagnons
432,applicable,en vigueur
433,litertures,littératures
434,litertures deprecated,littératures obsolète
435,solemnized miniatures,solennellement miniatures
436,lohkadiyan,lohkadiyan
437,transports,transports
438,recreating,recréer
439,extensions,extensions
440,tranquebar cheapskate,tranchebar rapiat
441,resistance,résistance
442,disruption,perturbation
443,favourites,favoris
444,satyagraha stipulated overworked,satyagraha stipulé surmené
445,resurfaced,refait surface
446,dectionary yudhishter,dictionnaire Yudhishter
447,lengthiest,le plus long
448,rogasajyay,rogasajyay
449,songwriter,auteur-compositeur
450,rudrakasha shortlived,rudrakasha de courte durée
451,fishmonger evideritly farooqabad,poissonnier évidemment farooqabad
452,squabbling,se chamailler
453,responding,répondre
454,tryptamine khatimunda seminaries,tryptamine Khatimunda séminaires
455,regardless balkeshvar christened,indépendamment de Balkeshvar baptisé
456,perumchoru,perumchoru
457,achievable,réalisable
458,usuceesful,utile
459,illustrate premchands,illustrer premchands
460,sarwajrञan,sarwajran
461,discourage,décourager
462,skillfully inflicting,habilement infliger
463,landscapes,paysages
464,pulverised dhnyanyoga,pulvérisé dhnyanyoga
465,parivadini designates,parivadini désigne
466,shrutkirti,shrutkirti
467,improperly,incorrectement
468,conjecture,conjecture
469,submitting,soumission
470,veneration ontologies,vénération ontologies
471,hermitages,ermitages
472,discovered hippocampi,découvert hippocampes
473,lakshagrah,lakshagrah
474,twentyfive,vingt cinq
475,intellects aboriginal,intelligence aborigène
476,drishtidum,Drishtidum
477,redemptive,rédempteur
478,forgivable reprimands,pardonnable réprimandes
479,childhoods,enfances
480,ridiculous quarrelled weeknights,ridicule s'est disputé les soirs de semaine
481,regimented peacemaker,enrégimenté pacificateur
482,perilously raghavanka,dangereusement Raghavanka
483,concluding interacted,final interagi
484,ministerto,ministre
485,multiplier astadhyayi,multiplicateur astadhyayi
486,acquitting chattering,acquitter bavarder
487,improbable,improbable
488,phosphates operations nagasvaram,phosphates opérations Nagasvaram
489,disclosing waitresses dissolving,divulguer serveuses dissolution
490,janajeevan assemblies fabulously,Janajeevan assemblées fabuleusement
491,jeopardise karunguzhi,compromettre karunguzhi
492,deciphered,déchiffré
493,executives,cadres
494,qutubshahi hospitable,qutubshahi hospitalier
495,prejudices rediscover divergence,préjugés redécouvrir divergence
496,abhorrence,horreur
497,additional chhaddheya,supplémentaire chhaddheya
498,kushinagar,Kushinagar
499,modeiately,modérément
500,convoluted,convoluté
501,adolescent,adolescent
502,chandigadh,Chandigadh
503,jogeshvari jogeshwari,Jogeshvari Jogeshwari
504,volleyball similarity badarinath,volley-ball similarité Badarinath
505,prabhawati ramshackle sanitarium,prabhawati délabré sanatorium
506,kitabistan,Kitabistan
507,ruggedness thoughtful,rugosité réfléchi
508,excellency,Excellence
509,solemnized,solennellement
510,resembling,ressemblant
511,motivating atmosphere puducherry,motivant atmosphère Pondichéry
512,propitious integrator,propice intégrateur
513,bottomdoes activities fortuitous,bas activités fortuit
514,minorities,minorités
515,elevations photobooth mahabharat,élévations photomaton mahabharat
516,personally,personnellement
517,kruragraha transports,kruragraha transports
518,lancashire thecentral,Lancashire la centrale
519,dismissals,licenciements
520,capitalism,capitalisme
521,legalities,légalités
522,immunities asymmetric,immunités asymétrique
523,gigaparsec persecutes,gigaparsec persécute
524,overactive marginally,trop actif marginalement
525,khrushchev,Khrouchtchev
526,occasioned,occasionné
527,elateridae unthinking afyrafkass,élatéridés irréfléchi afyrafkass
528,dependents puranabhya byssinosis,personnes à charge puranabhya byssinose
529,swarajists federalism,swarajistes fédéralisme
530,monotheist imperialis sterilised,monothéiste impérialis stérilisé
531,dynanakand,Dynananakand
532,supervises,supervise
533,pracharaks,pracharaks
534,annihilate,annihiler
535,exigencies,exigences
536,amendpents mutsabihat glistening,amendements Mutsabihat brillant
537,suddodhana,suddodhana
538,emasculate unfairness globalized,émasculer injustice mondialisé
539,guntupalle melodramas,guntupalle mélodrames
540,siddhartha metabolism amalgamate,siddhartha métabolisme fusionner
541,formulated,formulé
542,principlea attachment,principe pièce jointe
543,trivandrum astadhyayi,trivandrum astadhyayi
544,karnakutas,karnakutas
545,systematic devaprayag,systématique devaprayag
546,acontainer,un conteneur
547,modernised,modernisé
548,ramanayana,ramanayana
549,angioscopy,angioscopie
550,mutsabihat splintered,Mutsabihat éclaté
551,conferring,conférant
552,melancholy syncopated,mélancolie syncopé
553,introduces chitrangda,présente chitrangda
554,dispossess typeswhich,déposséder typesqui
555,saatvahana stonemason,saatvahana tailleur de pierre
556,contrasted depositing,contrasté dépôt
557,reputation offspiring,réputation décourageant
558,nightmares disapprove vedasgives,cauchemars désapprouver vedasdonne
559,sukhwinder,Sukhwinder
560,viswamitra,viswamitra
561,mahamaarat externment,mahamarat externation
562,athartaved,athartavé
563,audiobooks researcher,livres audio chercheur
564,dayanandan,Dayanandan
565,rajdhaanee,Rajdhaanee
566,vidhyawati,vidhyawati
567,dependence disastrous swapurusha,dépendance catastrophique swapurusha
568,sapaldaksh culturally,sapaldaksh culturellement
569,mosquitoes demolished,les moustiques démoli
570,suspensory normalized somersault,suspensif normalisé saut périlleux
571,retaliated,a riposté
572,indecisive,indécis
573,ramkrishna tendencies,ramkrishna tendances
574,stratchers,stratèges
575,similarlyz quadrupled,de la même manière quadruplé
576,paratinaya delegating muawiyarji,paratinaya déléguer muawiyarji
577,petitioner,pétitionnaire
578,yeruselium quadrupeds receptions,yéruselium quadrupèdes réceptions
579,suffocated childishly christened,étouffé enfantinement baptisé
580,deshbandhu compassion allahahbad,Deshbandhu compassion Allahahbad
581,commission,commission
582,newzealand,Nouvelle-Zélande
583,pernicious subramanya,pernicieux subramanya
584,uniformity,uniformité
585,demolished,démoli
586,countrythe,paysle
587,supportive retrograde,favorable rétrograde
588,mitigating indication,atténuer indication
589,initiative,initiative
590,unorthodox,peu orthodoxe
591,bankrupted chastening,en faillite châtier
592,abundantly,abondamment
593,primordial,primordial
594,lifespring,source de vie
595,balaconies visheshwar technology,balcons Visheshwar technologie
596,missionthe accentuate overcooked,missionla accentuer trop cuit
597,rakhadumni,rakhadumni
598,nymphalids equipement,nymphalides équipement
599,unfettered,sans entrave
600,navneetham,navneetham
601,grapefruit nonchalant bejewelled,pamplemousse nonchalant paré de bijoux
602,irritating,irritant
603,guntupalle powerfight regulating,guntupalle combat de puissance régulateur
604,categorize dazzlingly,classer par catégories de manière éblouissante
605,punishable,punissable
606,muradhabad sapaldaksh,muradhabad sapaldaksh
607,caseworker worldpress departures,travailleur social presse mondiale départs
608,unfaithful,infidèle
609,scrambling rhetorical tendinitis,brouillage rhétorique tendinite
610,compliment,compliment
611,treriching symetrical troglodyte,treriching symétrique troglodyte
612,annapurnam,Annapurnam
613,changeless,immuable
614,calamityit,calamité
615,wardathoan sycophants,Wardathoan courtisans
616,fahrenheit,degrés Fahrenheit
617,assembling mahalaxami,assemblage Mahalaxami
618,fishplates stonemason,éclisses tailleur de pierre
619,anuvanshiq sisterhood disappoint,anuvanshiq fraternité décevoir
620,montgomery noteworthy,montgomery remarquable
621,volatility,volatilité
622,photograph,photographier
623,brutalised perverting,brutalisé pervertir
624,mharashtra,mharashtra
625,mantaining,maintenir
626,stuttering,bégaiement
627,brailsford definition,brailsford définition
628,regigtered meditation,enregistré méditation
629,gurudaspur,gurudaspur
630,supervised deviations,supervisé écarts
631,bolleywood straighten,bolleywood redresser
632,lamentable,lamentable
633,paanwallah,paanwallah
634,fresheners,désodorisants
635,attributed recuperate,attribué récupérer
636,chitronjan,chitronjan
637,ultimately,finalement
638,backstroke,dos crawlé
639,janajeevan tollygunge,Janajeevan tollygunge
640,rediscover,redécouvrir
641,powerlooms,métiers à tisser
642,ammunition,munitions
643,happenings onslaughts,événements assauts
644,dehydrated imposition,déshydraté imposition
645,respirator,respirateur
646,pronouncsd,prononcer
647,kiolmeters,kilomètres
648,meaningful,significatif
649,agyaatvaas,agyaatvaas
650,metathesis,métathèse
651,messasging,messagerie
652,fishplates,éclisses
653,connnected necesisary planktonic,connecté nécessaire planctonique
654,influences sacrificed,influence sacrifié
655,dwaipayana downloaded,dwaipayana téléchargé
656,undertaken,entrepris
657,interferes,interfère
658,solidarity kripananda mouthpiece,solidarité Kripananda embouchure
659,repetition,répétition
660,cnstructed,construit
661,telescopic,télescopique
662,dvarapalas,dvarapalas
663,viswamitra misbehaved,viswamitra s'est mal comporté
664,privileged ratnalinga,privilégié Ratnalinga
665,casualness,désinvolture
666,youngsters,les jeunes
667,accurately sahajanand,avec précision sahajanand
668,accoriding,selon
669,typeswhich premchanda,typesqui premchanda
670,evolutions,évolutions
671,freemasons sukachmati,francs-maçons sukachmati
672,evideritly unrivalled invaluable,évidemment sans égal inestimable
673,systematic,systématique
674,rationally,rationnellement
675,horoscopes,horoscopes
676,swarthmore,Swarthmore
677,pyrimidine clinically precarious,pyrimidine cliniquement précaire
678,desabhandu unbearably iridescent,desabhandu insupportablement iridescent
679,incredible,incroyable
680,annotation,annotation
681,scepticism,scepticisme
682,aakashdeep sensuality,aakashdeep sensualité
683,pakisthani,pakistanais
684,ishwarbhai,Ishwarbhai
685,heartening naturalism,réconfortant naturalisme
686,chhaddheya,chhaddheya
687,breathless,haletant
688,ranthambar processing,Ranthambar traitement
689,fresheners suppresses,désodorisants supprime
690,autonomous,autonome
691,accusingly,accusateur
692,prediction,prédiction
693,hamburgers dumbstruck,hamburgers sidéré
694,kumbakonam,kumbakonam
695,sucessfull,réussi
696,strictures,restrictions
697,kapurthala stereotype bequeathed,kapurthala stéréotype légué
698,entorhinal,entorhinal
699,transverse,transversal
700,vernacular,vernaculaire
701,organising,organiser
702,economical,économique
703,landlocked,enclavé
704,nicobarese,nicobarais
705,polychords signalling,polyaccords signalisation
706,sapaaldesh,sapaaldesh
707,timescales,délais
708,economicby proscribed,économiquepar proscrit
709,generating,générateur
710,uttranchal,uttranchal
711,pilgrimage,pèlerinage
712,harassment foredoomed,harcèlement condamné d'avance
713,richardson,richardson
714,betacheast,bêta-east
715,contingent nagasvaram,contingent Nagasvaram
716,dashboards,tableaux de bord
717,insulating,isolant
718,zoological inimitable,zoologique inimitable
719,desolation,désolation
720,siteandits,siteandits
721,acoustical,acoustique
722,vashishtha vidhyapati taittareya,vashishtha vidhyapati taitareya
723,imitations,imitation
724,ssruangore,ssruangore
725,underwater,sous l'eau
726,jeopardize,compromettre
727,fakhruddin rusticated shajhahans,Fakhruddin rustiqué shajhahans
728,submissive berhampore respirator,soumis Berhampore respirateur
729,religionas overpriced,religions trop cher
730,unaffected livelihood,non affecté moyens de subsistance
731,carelessly,négligemment
732,plowshares,socs
733,landslides,glissements de terrain
734,promptness,promptitude
735,temptation burgeoning constition,tentation en plein essor constitution
736,excursions,excursions
737,whiteflies,les aleurodes
738,correction thoroughly worshipped,correction soigneusement adoré
739,dissection alpanasika barbecuing,dissection alpanasika faire un barbecue
740,monolithic,monolithique
741,stereotype policywise,stéréotype sur le plan politique
742,sentiments macromedia agronomist,sentiments macromédia agronome
743,potashhave kodumbalur,potasse kodumbalur
744,tambourire,tambourin
745,asbestosis,amiantose
746,multimedia,multimédia
747,mayurbhanj,mayurbhanj
748,polychords tournament dispensing,polyaccords tournoi distribution
749,authorship perversion,paternité perversion
750,struggling,en difficulté
751,visibility,visibilité
752,inheriting,hériter
753,patterning,modelage
754,ssrsszzith,ssrsszzith
755,observable arguements,observable arguments
756,flattening fictitious,aplanissement fictif
757,chitranjan,chitranjan
758,decotation repetitive inhabiting,décotation répétitif habiter
759,satyagrahi,satyagrahi
760,vaismpayan heartbreak,vaismpayan chagrin
761,bilinguals,bilingues
762,criticised,critiqué
763,aeronautic empathetic frightened,aéronautique empathique effrayé
764,committing meditating,commettre méditer
765,minimizing,minimiser
766,visvamitra,visvamitra
767,fatalities,décès
768,undeclared dovetailed atrocities,non déclaré en queue d'aronde atrocités
769,scrupulous appeaiance affliction,scrupuleux apparence affliction
770,dreamworld,monde de rêve
771,dasharathi,Dasharathi
772,seperation deswasioha irreverent,séparation deswasioha irrévérencieux
773,jeopardise,compromettre
774,indiacates dhanteeras dvarapalas,indique dhanteeras dvarapalas
775,forthright sheepishly vishnavite,franc d'un air penaud vishnavite
776,capacities narrations wanderings,capacités narrations errances
777,pollinated,pollinisé
778,thirteenth underbites mutsabihat,treizième sous-morsure Mutsabihat
779,absorbents,absorbants
780,disappears,disparaît
781,reducedand,réduitet
782,firstworld,premier monde
783,deepshikha regionsthe,Deepshikha les régionsles
784,ministries shikohabad informaion,ministères Shikohabad informations
785,orchestras,orchestres
786,pariseshin inheritors monotheist,Pariseshin héritiers monothéiste
787,restrained,restreint
788,meritocrat sheepishly,méritocrate d'un air penaud
789,conquering unstitched,conquête décousu
790,stagnating,stagner
791,sathyavati,sathyavati
792,inviolable,inviolable
793,deshbahdhu understand,deshbahdhu comprendre
794,yudhishtra intestines,Yudhishtra intestins
795,vashikaran,vashikaran
796,congresses serrations,congrès dentelures
797,unbuttoned,déboutonné
798,prominence,importance
799,saccharine,saccharine
800,originates,est originaire
801,ejectments,éjections
802,pilastered,à pilastres
