,English,Hindi
133,vijayawada,विजयवाड़ा
134,formalised,औपचारिक रूप दिया
135,department,विभाग
136,misgivings unexciting,गलतफहमी उत्साहहीन
137,extremists,चरमपंथियों
138,defecation likelihood,मलत्याग संभावना
139,originally peacemaker,मौलिक रूप से शांति करनेवाला
140,inoculated enterprise,टीका उद्यम
141,amrutanjan,अमृतांजन
142,vidyaranya kavitavali theorizing,विद्यारण्य कवितावली सिद्धांत बनाना
143,princesses geocodable,राजकुमारियों जियोकोडेबल
144,grostesque,विचित्र
145,targetting inhumanity,लक्ष्यीकरण बेदर्दी
146,tectacoris journalism,टेक्टाकोरिस पत्रकारिता
147,militarily subbulaxmi,फ़ौजी की मदद से सुब्बुलक्ष्मी
148,sandstorms,रेत के तूफ़ान
149,dvarasobha,द्वारशोभा
150,prabandhan overactive,प्रबंध अति
151,directions adaptation,दिशा-निर्देश अनुकूलन
152,explosions,विस्फोट
153,persecutes,तंग
154,privatised,निजीकरण
155,intactness impossibly,अक्षुण्णता असंभावना से
156,karolinska,करोलिंस्का
157,marmoratus,मर्मोरेटस
158,coountries,देश
159,seperation satvahanas anesthetic,जुदाई सातवाहन चतनाशून्य करनेवाली औषधि
160,mumtajgunj,मुमताजगंज
161,paranormal buddhistic pineapples,असाधारण बुद्ध धर्म का अनानास
162,jambukhand,जंबुखंड
163,gowharikar,गौहरिकर
164,criticised,आलोचना की
165,rusticated,निष्कासित
166,distribute,वितरित करें
167,bittorrent,बिटटोरेंट
168,undertakes,चलाती
169,dissolving oxidisable,घुला देनेवाला ऑक्सीकरण योग्य
170,utopianism resurfaced,काल्पनिकता फिर जाग उठा
171,longimanus nucleotide insurgents,लोंगिमानस न्यूक्लियोटाइड विद्रोहियों
172,rajasthans,राजस्थान
173,distinctly humiliates,साफ़ तौर पर उनका अपमान
174,madagaskar,मेडागास्कर
175,precaution karandikar kathiawari,एहतियात करंदीकर काठियावाड़ी
176,synagogues,सभाओं
177,inviolable confiscate hypocrites,पवित्र ज़ब्त करना कपटी
178,distortion,विरूपण
179,infrequent denudation,निराला अनाच्छादन
180,agitations,आंदोलन
181,ramashrayi,रामाश्रयी
182,biologists,जीव
183,benimadhav,बेनीमाधव
184,devaprayag pashupatha,देवप्रयाग पशुपथ
185,regionwise bheemghoda,क्षेत्रवार भीमघोड़ा
186,shoestring,जूते का फीता
187,dhramasala ashtavarga,धर्मशाला अष्टवर्ग
188,udgatrgana,उद्गात्रगण
189,mouthpiece,मुखपत्र
190,widespread honourable,बड़े पैमाने पर माननीय
191,satrangini bharathpur,सतरंगिनी भरतपुर
192,phenomenon procedings,घटना कार्यवाही
193,translator,अनुवादक
194,preference emphasised,वरीयता पर बल दिया
195,architects,आर्किटेक्ट्स
196,deparature,प्रस्थान
197,programmer,प्रोग्रामर
198,pratishtha butperhaps,प्रतिष्ठा लेकिन शायद
199,difference ascertains,अंतर पता लगाता है
200,remembered,याद आ गई
201,starvation snorkeling,भुखमरी स्नॉर्कलिंग
202,shantiparv analogical magastanis,शांतिपर्व अलंकारिक मैगास्टैनिस
203,offputting associated,अपमानजनक संबंधित
204,propotions,अनुपात
205,villagethe switchover,गाँव पर स्विच
206,fabulously unemployed,शानदार ढंग से बेरोजगार
207,unresolved unattached economical,अनसुलझे स्वाधीन किफ़ायती
208,destroying coountries magnifying,नष्ट देश आवर्धक
209,ashwaghosh,अश्वघोष
210,worldhuman extensible consonants,विश्वमानव एक्सटेंसिबल व्यंजन
211,analysinng,विश्लेषण
212,pondicheri throughhis dismissing,पांडिचेरी उसके माध्यम से खारिज
213,shortfalls complaints,खामियों शिकायतों
214,srivastava,श्रीवास्तव
215,synagogues councillor,सभाओं सभासद
216,cottonseed,कपास
217,dependence,निर्भरता
218,chivalrous displeased,उदार अप्रसन्न
219,lingustics,भाषाविज्ञान
220,terriorist dependants,आतंकवादी आश्रितों
221,basketball,बास्केटबाल
222,brightened,चमकाया
223,atrocities,अत्याचार
224,multimedia,मल्टीमीडिया
225,stagnation,स्थिरता
226,kumbakonam,कुंभकोणम
227,promotions sandstones,प्रचार बलुआ पत्थर
228,quarreling facilities,झगड़ा सुविधाएँ
229,ibnarsubad,इब्नर्सुबाद
230,intergenic ilachandra,इंटरजेनिक इलाचंद्र
231,brahmagana bhagatsinh,ब्रह्मगण भगतसिंह
232,descending,अवरोही
233,paragraphs outscoring bhillamala,पैराग्राफ आउटस्कोरिंग भिल्लामाला
234,controlled,नियंत्रित
235,spindleage immunising pesticides,तकला टीकाकरण कीटनाशक
236,unimpaired columnette triangular,अछूता स्तंभकार त्रिकोणीय
237,enrichment sufferings,समृद्ध कष्टों
238,variegated,तरह तरह का
239,transfixed,बांधे
240,shantiparv,शांतिपर्व
241,warranting,गारंटी
242,antoinette discovered,एंटोनेट की खोज की
243,infections forexample,संक्रमणों उदाहरण के लिए
244,disheveled resonators,बिखेरा प्रतिध्वनिकारक
245,constitute,गठित करना
246,abolishing unplugging,खत्म अनप्लग
247,covenanted shivakalin mouthguard,तौलकर शिवकालीन मुंह गार्ड
248,andamanese repetitive,अंडमानी दोहराव
249,pratimaaon maximizing repatriats,प्रतिमाओं अधिकतम स्वदेश वापसी करने वाले
250,rectifying,सुधार
251,leaderless athartaved alphabetic,नेतृत्वविहीन अथर्तावेड वर्णानुक्रमक
252,ideologues,विचारक
253,puritanism infliction,नैतिकतावाद सज़ा
254,theologian undeterred nyayabhasa,थेअलोजियन निडर न्यायभासा
255,unfamiliar,अनजान
256,brahmaachy postulated chancellor,ब्रह्मचर्य माने कुलाधिपति
257,capitalize hospitable,मूल बनाना मेहमाननवाज़
258,devolution groundsmen formalised,हस्तांतरण ग्राउंड्समैन औपचारिक रूप दिया
259,reasonably,यथोचित
260,southernly,दक्षिणी
261,procession ascendancy,जुलूस प्रभुत्व
262,khedbrahma,खेडब्रह्मा
263,burglaries,चोरी
264,figuration mansarowar,अलंकरण मानसरोवर
265,scriptures convulsing,धर्मग्रंथों ऐंठन
266,elaborates helicopter importence,बताते हैं हेलीकाप्टर महत्व
267,overcoming psychotria,काबू मनोरोग
268,bhandarkar,भंडारकर
269,futuristic shantiparv,फ्यूचरिस्टिक शांतिपर्व
270,allahabaad charleston trivikrama,इलाहाबाद चार्ल्सटन त्रिविक्रम
271,stampeding protesters,मुद्रांकन प्रदर्शनकारियों
272,foredoomed pratinidhi inspirited,पूर्वबर्बाद प्रतिनिधि प्रेरित
273,dismantles subuktagin,विघटित करता है सुबुक्तगिन
274,brajbhasha beginnings abstracted,ब्रजभाषा शुरुआत ध्यान न देता हुशा
275,rainsoaked hisotrical,बारिश से भीगा हुआ ऐतिहासिक
276,prehapraha,प्राहाप्रहा
277,indication,संकेत
278,defilement,कलंक
279,suzerainty periplanea compliment,आधिपत्य पेरिप्लेनिया प्रशंसा
280,fluctuated inducement,डोलती प्रलोभन
281,panchamrut upanishaad,पंचामृत उपनिषद
282,interfaace,इंटरफ़ेस
283,assailants dissidence noyantaran,हमलावरों मतभेद नोयन्तरन
284,sampradaya shrotyagya,सम्प्रदाय श्रोतयज्ञ
285,microchips sundarbans,माइक्रोचिप्स सुंदरवन
286,sikhandhar,सिकन्दर
287,mahanasika,महानासिका
288,redactions bhagatsinh,सुधार भगतसिंह
289,evangelion,इवेंजेलियन
290,glorifying,महिमा
291,sacramento,सैक्रामेंटो
292,mahabarata,महाभारत
293,transpired,मालूम
294,panchamrut batavanana evaporated,पंचामृत बतावनना सुखाया
295,udhishthir demonology,युधिष्ठिर डेमेनोलॉजी
296,ambulances,एंबुलेंस
297,battalions,बटालियनों
298,pronounces dapartment manuscript,उच्चारण करता विभाग हस्तलिपि
299,calotropis diarrhoeal bhimbetaka,कैलोट्रोपिस अतिसारीय भीमबेटका
300,cumberland geetimalya,कंबरलैंड गीतिमल्या
301,brhdarayan,ब्रह्दारायण
302,wholesaler,थोक विक्रेता
303,fulfilling supermodel,को पूरा करने सुपर मॉडल
304,distension,बढ़ाव
305,committees,समितियों
306,sandeshwar seminaries,सांडेश्वर मदरसों
307,shakespere vaikhanasa,शेक्सपीयर वैखानसा
308,universaly renditions,सार्वभौमिक प्रस्तुतियाँ
309,grihapindi shiwaraani sanchuster,गृहपिंडी शिवरानी संचुस्टर
310,biopolymer injuctions,जैव बहुलक रोक
311,interfaces turbulence,इंटरफेस अशांति
312,underneath,नीचे
313,retrograde,पतित
314,hillebrand saraswathy kamchariyo,हिलब्रांड सरस्वती कामचरियो
315,eshwarappa,ईश्वरप्पा
316,downgraded inspectors mountbaton,डाउनग्रेड निरीक्षकों माउंटबेटन
317,ranipokhri,रानीपोखरी
318,radicalism gratifying,मूलसिद्धांत संतोषजनक
319,cartoonist,कार्टूनिस्ट
320,fearlessly,बेधड़क
321,concurrent standpoint,समवर्ती दृष्टिकोण
322,snobberies analogical repudiated,दंभ अलंकारिक को अस्वीकार नहीं किया
323,allowances,भत्ता
324,windscreen shikohabad,विंडस्क्रीन शिकोहाबाद
325,forfeiters muktabodha vishwanath,ज़ब्त करने वाले मुक्तबोध विश्वनाथ
326,enlightens,प्रबुद्ध करता है
327,ultimatums aficionado,अल्टिमेटम एफ़िसिओनाडो
328,macrometer,मैक्रोमीटर
329,courageous,साहसी
330,apprentice,शिक्षु
331,somaskanda hahahahaha ornamental,सोमस्कन्द हाहाहाहाहा सजावटी
332,riecessary,आवश्यक
333,inhumanity,बेदर्दी
334,rhapsodies heartening navabrahma,रैप्सोडीज़ खुशी नवब्रह्म
335,intervened necesisary,हस्तक्षेप किया आवश्यक
336,jatiavidhi,जातीयविधि
337,attendance snowfields,उपस्थिति बर्फ के मैदान
338,ashtadyayi nagasvaram shuparnkha,अष्टाध्यायी नागस्वरम शूपर्णखा
339,appreciate,प्रशंसा करना
340,skateboard canterbury,स्केटबोर्ड कैंटरबरी
341,cytologist bhagatsing paperboard,कोशिका विज्ञानी भगतसिंग पेपरबोर्ड
342,generality,व्यापकता
343,jyaneshwar,ज्ञानेश्वर
344,chaandogya backhanded,चंदोग्य व्यंग भरी
345,versailles sturdiness undeserved,वर्साय मजबूती नाहक
346,crasthavet,क्रैस्थवेट
347,aggressive,आक्रामक
348,criticises,की आलोचना
349,starvation,भुखमरी
350,navamurtis,नवमूर्ति
351,theseseven anandapala,येसात अनांडपाला
352,karunguzhi goalkeeper,करुंगुझी गोलकीपर
353,recaptured,पुनः कब्जा
354,flourishes cultivator,पनपी कृषक
355,defaulting,दोषी
356,magnifying,आवर्धक
357,gurudaspur,गुरुदासपुर
358,indictment untalented pioneering,अभियोग प्रतिभाहीन अग्रणी
359,economicby graduating,आर्थिक रूप से स्नातक
360,infuriated,व्यथित
361,confidence,आत्मविश्वास
362,oppression prettiness partapgarh,उत्पीड़न कमनीयता प्रतापगढ़
363,artificial lightening,कृत्रिम बिजली चमकना
364,unaffected,अप्रभावित
365,regimental,रेजिमेंटल
366,subhasbabu,सुभाषबाबू
367,venugopala,वेणुगोपाल
368,aghoranath,अघोरनाथ
369,pandulipis kwashpuram,पांडुलिपिस क्वाशपुरम
370,formalized geographic moderation,औपचारिक रूप दिया ज्योग्राफिक संयम
371,belongings,संपत्ति
372,conscience jiyauddeen forceseach,अंतरात्मा की आवाज जियाउद्दीन बलपूर्वक
373,sheepishly,स्वीकार
374,yudhisthir,युधिष्ठिर
375,horoscopes jaishanker activators,कुंडली जयशंकर सक्रियकर्ता
376,courtesies,शिष्टाचारों
377,subsection betterment malasthana,उपधारा सुधार मलस्थान
378,unchanging,अपरिवर्तनीय
379,permitting,की अनुमति
380,jayasuriya,जयसूर्या
381,paragraphs,पैराग्राफ
382,shinkansen,शिंकनसेन
383,regionally,क्षेत्रीय
384,swayamvara,स्वयंवर
385,bharatendu,भारतेन्दु
386,barefooted,नंगे पाँव
387,weaknesses humanizing,कमजोरियों मानवीय
388,safdarjung,सफदरजंग
389,encourages,को प्रोत्साहित करती है
390,jambhelkar rashbehary redesigned,जम्भेलकर रैशबिहारी पुननिर्मित
391,kwashpuram,क्वाशपुरम
392,algorithms,एल्गोरिदम
393,autographs mrityuloka,ऑटोग्राफ मृत्युलोक
394,mortifiedv,अपमानितv
395,shortlived,अल्पकालिक
396,rachamalla,राचमल्ला
397,detectives dehydrated cigarettes,जासूस निर्जलित सिगरेट
398,rajputhana peripheral bankruptcy,राजपूताना परिधीय दिवालियापन
399,overweight,अधिक वजन
400,ordinarily,आमतौर पर
401,chintrajan gymnasiums,चिंतराजन जिमखाने
402,defraction,विवर्तन
403,fortresses,किले
404,precarious,अनिश्चित
405,undermined,कम आंका
406,lehertaara graciously,लहरतारा विनय से
407,immigrated,आकर बस
408,montgomery,मॉन्टगोमेरी
409,semicircle,आधा गोला
410,softspoken hisotrical abdication,मधु भाषी ऐतिहासिक त्याग
411,vivekanand,विवेकानंद
412,harivayasi rhinoceros,हरिव्यासि गैंडा
413,reproduces occupation contiguous,पुनरुत्पादन करता है पेशा मिला हुआ
414,canvassing infectious,प्रचार संक्रामक
415,illustrate,उदाहरण देकर स्पष्ट करना
416,splittists,विभाजनवादी
417,saikandara,सैकंदरा
418,flattering,चापलूसी
419,subsidized capability,रियायती क्षमता
420,tandrapadu quadrature,तंद्रापाडु वर्ग निकालना
421,unedifying inverarity internally,अशिक्षित अपरिवर्तनशीलता आंतरिक रूप
422,kumbakonam embioptera,कुंभकोणम एम्बियोप्टेरा
423,hyderabadi,हैदराबादी
424,maashelkar blitzkrieg,माशेलकर बमवर्षा
425,sukanasika,सुकनासिका
426,tarakeswar,तारकेश्वर
427,wherefores,इसलिए
428,vijayalaya,विजयालय
429,moralideas compleayed,नैतिक विचार शिकायत की
430,homozygous correction,समयुग्मक सुधार
431,negotiator discreetly normalised,मध्यस्थ सावधानी से सामान्यीकृत
432,analgesics warranting repertoire,दर्दनाशक गारंटी प्रदर्शनों की सूची
433,occassions inhumanity,अवसरों बेदर्दी
434,kalyanathe kathiawari,कल्याणथे काठियावाड़ी
435,surprising proclaimed,आश्चर्य की बात है की घोषणा की
436,themeaning bungladesh nowrangpur,अर्थ बांग्लादेश नौरंगपुर
437,threechand mysterious epididemis,तीनचंद रहस्यमय एपिडीडेमिस
438,purushavar,पुरुषवर
439,papillaris,पैपिलारिस
440,governance discussing,शासन चर्चा
441,mahajanpad,महाजनपद
442,palimpsest adjustment,पलिम्प्सेस्ट समायोजन
443,sunderbans,सुंदरबन
444,handsomely,खूबसूरत
445,byproducts,उपोत्पाद
446,conjecture reparation,अनुमान मुआवज़ा
447,proceeding,कार्यवाही
448,formidable,दुर्जेय
449,kabuliwala charleston,काबुलीवाला चार्ल्सटन
450,financiers,फाइनेंसरों
451,explainted,समझाया
452,dhnawantri trafficked muvarkovil,धन्वंतरि तस्करी मुवरकोविल
453,moralistic insistence,नैतिक आग्रह
454,endangered,संकटग्रस्त
455,deforested glorifying,कटाई महिमा
456,hamburgers,हैम्बर्गर
457,rotational superwomen,घुमानेवाला सुपरवुमन
458,chitrakoot apppointed,चित्रकूट नियुक्त
459,deadlocked,गतिरोध
460,abominably,घृणित रूप से
461,leadership,नेतृत्व
462,migrations,माइग्रेशन
463,undulating mobilizing fraternise,लहरदार जुटाने भाईचारा बनाना
464,manoeuvres sedulously,युद्धाभ्यास लगन से
465,shockwaves captivated,आश्चर्य मोहित
466,desolating palimpsest penetrated,उजड़ने पलिम्प्सेस्ट प्रवेश
467,affidavits jantantrik vidyasagar,हलफनामों जनतांत्रिक विद्यासागर
468,influences unbeliever,को प्रभावित नास्तिक
469,shivasukha,शिवसुख
470,protective,रक्षात्मक
471,appraisals belittling,मूल्यांकन महत्व कम करना
472,leaderless,नेतृत्वविहीन
473,protectors tathagatha,संरक्षक तथागत
474,usuceesful correlates perception,उपयोगी संबद्ध धारणा
475,appeaiance incubation,दिखावा इन्क्यूबेशन
476,blackstone,काला पत्थर
477,stockpiles,भंडार
478,shatrughna recounting precarious,शत्रुघ्न पुनर्गणना अनिश्चित
479,varahmihir enthusiasm,वराहमिहिर उत्साह
480,legitimacy formidable,वैधता दुर्जेय
481,bookstores aspiration,बुकस्टोर्स आकांक्षा
482,repayments vernacular connection,पुनर्भुगतान मातृभाषा कनेक्शन
483,collegiate,विज्ञान-संबंधी
484,gelderland,गेल्डरलैंड
485,upanishado noyantaran,उपनिषदो नोयन्तरन
486,ridiculous,हास्यास्पद
487,postponing exposition postponing,स्थगित प्रदर्शनी स्थगित
488,deplorable ravalagudi,खेदजनक रावलगुडी
489,extensible,एक्सटेंसिबल
490,khrushchev,ख्रुश्चेव
491,panchamrut,पंचामृत
492,summarizes angiograms,को सारांशित एंजियोग्राम
493,testicular,वृषण
494,amendments,संशोधन
495,mistakenly autophones cleverness,भूल से ऑटोफ़ोन चतुराई
496,castewhich contesting impeccable,जाति जो चुनाव लड़ रहे बेदाग
497,formulated aggressive,तैयार आक्रामक
498,kishorilal precocious,किशोरीलाल असामयिक
499,difficulty vagisvaram,कठिनाई वागीस्वरम
500,announcers,उदघोषकों
501,vaikhanasa,वैखानसा
502,prophesied,भविष्यवाणी
503,positivity invariance,सकारात्मकता निश्चरता
504,determines,निर्धारित करता है
505,sanctioned serialised supporting,स्वीकृत धारावाहिक सहायक
506,ghorakhpur,गोरखपुर
507,producedat,उत्पादित
508,telescopes kinematics,दूरबीन गतिकी
509,promontory understpod perimeters,रास अंडरस्टॉप परिधि
510,gandharvas sheepishly jambavanth,गंधर्व स्वीकार जाम्बवन्त
511,coalfields defecating,कोयला शौच
512,communical,संचारी
513,misfortune,दुर्भाग्य
514,varadaraja,वरदराज
515,vijayangar relocation,विजयनगर पुनर्वास
516,devanakric,देवानाक्रिक
517,malihabadi nyayabhasa dramatised,मलिहाबादी न्यायभासा नाटकीय
518,mathematic bookmarked,गणित बुकमार्क
519,infighting,अंदरूनी कलह
520,worshiping,पूजा
521,qualitised,गुणात्मक
522,liberation,मुक्ति
523,expedition enormously,अभियान अत्यंत
524,hovercraft,हुवरक्रफ़्ट
525,antagonise announcing immigrated,विरोध करना की घोषणा आकर बस
526,collieries neurologic,कोयला खदानों तंत्रिका संबंधी
527,volunteers,स्वयंसेवकों
528,bequeathed aftershave threechand,वसीयत आफ़्टरशेव तीनचंद
529,manoeuvres calledthat treatments,युद्धाभ्यास उसे बुलाया उपचार
530,loquacious visvamitra,बातूनी विश्वामित्र
531,enraptured,मंत्रमुग्ध
532,assembling,कोडांतरण
533,thenjoined,फिर शामिल हो गए
534,carcinogen derogation defamation,कासीनजन मानमर्दन मानहानि
535,scheduling migrations,अनुसूची बनाना माइग्रेशन
536,practicing,अभ्यास
537,parenthood lampyridae,पितृत्व लैम्पिरिडे
538,affordable,खरीदने की सामर्थ्य
539,earthquake windshield,भूकंप विंडशील्ड
540,carbonieri,कार्बोनेरी
541,emissaries pratimaano humiliated,दूतों प्रतिमानो अपमानित
542,evideritly,स्पष्ट रूप से
543,solitarily,अकेले में
544,tarakeswar shankerlal,तारकेश्वर शंकरलाल
545,symbolised completety,प्रतीकात्मक संपूर्णता
546,unobserved fascinated,अप्रत्यक्ष मोहित
547,orgination heartening,उत्पत्ति खुशी
548,judgmental,अनुमान
549,goesduring,दौरान जाता है
550,oarticular,नेत्र संबंधी
551,karvanseri optimistic,कारवांसेरी आशावादी
552,competence dreamworld horoscopes,क्षमता सपनों की दुनियां कुंडली
553,himalayans,हिमालयवासी
554,casefrance,केसफ्रांस
555,prosperity,समृद्धि
556,signatures,हस्ताक्षर
557,durgawatee,दुर्गावती
558,symbolized,प्रतीकात्मक
559,kalachuris,कलचुरिस
560,ramalingam dhramasala,रामलिंगम धर्मशाला
561,graduation,स्नातक
562,consortium millimetre,संघ मिलीमीटर
563,petitioned,याचिका दायर की
564,guesthouse eranshahri derogatory,गेस्ट हाउस एरानशहरी अपमानजनक
565,tendencies manuscript,प्रवृत्तियों हस्तलिपि
566,incidences cooperated,घटनाओं सहयोग
567,reclaiming superfluid,रिक्लेमिंग अतितरल
568,paraphrase,संक्षिप्त व्याख्या
569,prevailing,प्रचलित
570,sanlekhana,संलेखना
571,clerestory,मौलवी
572,tumultuous glorifying sculpturss,उतार-चढ़ाव भरे महिमा मूर्तिकार
573,aborigines,मुलनिवासी
574,viewership consonants,दर्शकों की संख्या व्यंजन
575,daydreamer,आदर्शवादी
576,filmmakers chintrajan,फिल्म निर्माताओं चिंतराजन
577,bhagatsinh,भगतसिंह
578,picturised,फिल्माए
579,telephonic stringency,टेलीफोन पर अभाव
580,rigorously cheesecake dadamashai,कड़ाई से चीज़केक दादामशाय
581,coldstream,ठंडी धारा
582,vaismpayan,वैशम्पायन
583,editorship expediting,संपादनकार्य में तेजी लाने के
584,yudhishter,युधिष्ठिर
585,khandelwal criminally,खंडेलवाल आपराधिक
586,misfortune subsidiary terminated,दुर्भाग्य सहायक समाप्त
587,possessive unrivalled,मालिकाना बेजोड़
588,memorandum,ज्ञापन
589,revelation,रहस्योद्घाटन
590,motherhood,मातृत्व
591,moderators bandergaha,मध्यस्थ बंदरगाहा
592,kamchariyo eukaryotes vegetarian,कामचरियो यूकैर्योसाइटों शाकाहारी
593,dharmendra,धर्मेंद्र
594,reshuffles,फेरबदल
595,historical misconduct,ऐतिहासिक दुराचार
596,rangarajan,रंगराजन
597,swarajists,स्वराजवादियों
598,favourites surrenderd,पसंदीदा आत्मसमर्पण कर दिया
599,disappoint holochlora,निराश होलोक्लोरा
600,responders,प्रतिसाददाताओं
601,calculated stabitlity recompense,गणना स्थिरता बदला चुकाना
602,muaviyarji,मुआवियारजी
603,jaisalmeri,जैसलमेर
604,betterment,सुधार
605,yajurvedas,यजुर्वेद
606,offspiring kurmapuran surrounded,अपमानजनक कूर्मपुराण घेर लिया
607,scriptures shapethick basketball,धर्मग्रंथों आकार-मोटा बास्केटबाल
608,casualties,हताहतों की संख्या
609,scarcities,कमी
610,sakthibaan enunciates passionate,शक्तिबाण प्रतिपादित करता है जुनूनी
611,rashbehary projecting,रैशबिहारी पेश
612,polyesters turbulence,पॉलिएस्टर अशांति
